"filename", "language", "Python", "Markdown", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/EXECUTE AGENT.ipynb", "JSON", 0, 0, 1659, 0, 0, 0, 1, 1660
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/EXPLOIT AGENT.ipynb", "JSON", 0, 0, 1457, 0, 0, 0, 1, 1458
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/actuators.py", "Python", 0, 0, 0, 0, 0, 1, 4, 5
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/executable_workflows/Workflow_2.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 21
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_0.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 16
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_1.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 8
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_2.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 21
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_3.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 17
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_4.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 11
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/static/style.css", "PostCSS", 0, 0, 0, 93, 0, 3, 18, 114
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/add_contact.html", "HTML", 0, 0, 0, 0, 14, 0, 7, 21
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/add_ticket.html", "HTML", 0, 0, 0, 0, 16, 0, 7, 23
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/contacts.html", "HTML", 0, 0, 0, 0, 26, 0, 5, 31
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/dashboard.html", "HTML", 0, 0, 0, 0, 10, 0, 3, 13
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/delete_contact.html", "HTML", 0, 0, 0, 0, 10, 0, 4, 14
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/edit_contact.html", "HTML", 0, 0, 0, 0, 14, 0, 7, 21
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/index.html", "HTML", 0, 0, 0, 0, 8, 0, 4, 12
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/layout.html", "HTML", 0, 0, 0, 0, 32, 0, 3, 35
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/search.html", "HTML", 0, 0, 0, 0, 20, 0, 4, 24
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/settings.html", "HTML", 0, 0, 0, 0, 12, 0, 6, 18
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/submit.html", "HTML", 0, 0, 0, 0, 8, 0, 1, 9
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/ticket_detail.html", "HTML", 0, 0, 0, 0, 9, 0, 4, 13
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/tickets.html", "HTML", 0, 0, 0, 0, 19, 0, 4, 23
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/test_app.py", "Python", 92, 0, 0, 0, 0, 7, 25, 124
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/llm_bridge.py", "Python", 78, 0, 0, 0, 0, 191, 35, 304
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/scripts/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/execution_tools/Actuators.py", "Python", 65, 0, 0, 0, 0, 46, 51, 162
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/execution_tools/Brain.py", "Python", 81, 0, 0, 0, 0, 149, 58, 288
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/execution_tools/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/task_execution.py", "Python", 188, 0, 0, 0, 0, 28, 167, 383
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/exploit_pipeline/attacker.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/extraction_pipeline/extraction_tools/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/extraction_pipeline/extraction_tools/llm_bridge.py", "Python", 78, 0, 0, 0, 0, 168, 35, 281
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/extraction_pipeline/task_extraction.py", "Python", 272, 0, 0, 0, 0, 33, 251, 556
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/uitls/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/web_scanner.py", "Python", 30, 0, 0, 0, 0, 3, 25, 58
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/test.py", "Python", 28, 0, 0, 0, 0, 2, 10, 40
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/test_execute_workflow.py", "Python", 150, 0, 0, 0, 0, 310, 121, 581
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/test_extract_data.py", "Python", 235, 0, 0, 0, 0, 23, 297, 555
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/webapp_plan.md", "Markdown", 0, 51, 0, 0, 0, 0, 16, 67
"Total", "-", 1297, 145, 3116, 93, 198, 964, 1183, 6996